Haemophilus parahaemolyticus
Haemophilus paraphrohaemolyticus
Haemophilus parasuis
Aggregatibacter segnis
Haemophilus sp.
Haemophilus taxon C
Pasteurella multocida
Pasteurella aerogenes
Gallibacterium anatis
Avibacterium avium
Pasteurella bettyae
Pasteurella canis
Pasteurella dagmatis
Avibacterium gallinarum
Pasteurella langaaensis
Pasteurella mairii
Pasteurella pneumotropica
Pasteurella sp.
Pasteurella stomatis
Pasteurella testudinis
Avibacterium volantium
Anaplasma centrale
Anaplasma marginale
Bartonella bacilliformis
Coxiella burnetii
Ehrlichia ruminantium
Rickettsia conorii
Rickettsia prowazekii
Rickettsia rickettsii
Orientia tsutsugamushi
Rickettsia typhi
Rickettsia akari
Rickettsia australis
Rickettsia canadensis
Rickettsia sp.
BEV proteobacterium
Bartonella quintana
Bartonella elizabethae
Chlamydia trachomatis
Bacteroides fragilis
Bacteroides thetaiotaomicron
Bacteroides uniformis
Bacteroides vulgatus
Parabacteroides distasonis
Campylobacter gracilis
Sebaldella termitidis
Campylobacter ureolyticus
Butyrivibrio fibrisolvens
Fibrobacter succinogenes
Porphyromonas gingivalis
Prevotella ruminicola
Prevotella loescheii
Roseburia cecicola
Wolinella succinogenes
Oxalobacter formigenes
Fusobacterium gonidiaformans
Fusobacterium mortiferum
Fusobacterium nucleatum
Fusobacterium perfoetens
Faecalibacterium prausnitzii
Fusobacterium russii
Fusobacterium simiae
Fusobacterium varium
Fusobacterium necrogenes
Fusobacterium necrophorum
Fusobacterium periodonticum
Fusobacterium ulcerans
Syntrophomonas wolfei
Pectinatus frisingensis
Ruminobacter amylophilus
Dichelobacter nodosus
Desulfovibrio africanus
Desulfovibrio desulfuricans
Desulfovibrio fructosivorans
Desulfovibrio gigas
Desulfovibrio salexigens
Desulfovibrio vulgaris
Desulfovibrio sp.
Thermodesulfobacterium thermophilum
Desulfobotulus sapovorans
Desulfovibrio longus
Desulfuromonas acetoxidans
Desulfuromonas sp.
Desulfobulbus propionicus
Desulfobulbus sp.
Desulfococcus multivorans
Desulfomicrobium baculatum
Desulfovibrio piger
Acidaminococcus fermentans
Megasphaera elsdenii
Nitrobacter hamburgensis
Nitrobacter winogradskyi
Nitrosomonas europaea
Nitrosomonas eutropha
Nitrosomonas marina
Acidithiobacillus ferrooxidans
Starkeya novella
Halothiobacillus hydrothermalis
Thiobacillus sp.
Thiomonas intermedia
Halothiobacillus neapolitanus
Thiomonas perometabolis
Thermithiobacillus tepidarius
Acidithiobacillus thiooxidans
Thiobacillus thioparus
Thiomicrospira thyasirae
Thiomicrospira pelophila
Thiomicrospira sp.
Thiovulum sp.
Hydrogenobacter thermophilus
Ehrlichia canis
Ehrlichia chaffeensis
Ehrlichia ewingii
Anaplasma phagocytophilum
Anaplasma platys
Neorickettsia risticii
Neorickettsia sennetsu
Wolbachia persica
Wolbachia pipientis
Wolbachia sp.
Bdellovibrio bacteriovorus
Bacteriovorax stolpii
Campylobacter-like bacterium
Herbaspirillum seropedicae
Oceanospirillum linum
Spirillum volutans
Selenomonas ruminantium
Sporohalobacter lortetii
Cellulophaga lytica
Persicobacter diffluens
Cytophaga fermentans
Flavobacterium flevense
Pedobacter heparinus
Cytophaga hutchinsonii
Flavobacterium johnsoniae
Aquimarina latercula
Leeuwenhoekiella marinoflava
Marinilabilia salmonicolor
Cytophaga xylanolytica
Flavobacterium hydatis
Solitalea canadensis
Flavobacterium columnare
Flexibacter elegans
Flexibacter flexilis
